Region,total immigrants,total emigrants,migration increase (decrease)
Vinnytsia Oblast,14014,16414,-2400
Volyn Oblast,10710,10838,-128
Dnipropetrovsk Oblast,27448,28080,-632
Donetsk Oblast,14293,19726,-5433
Zhytomyr Oblast,16125,16781,-656
Zakarpattia Oblast,5468,5877,-409
Zaporizhia Oblast,13016,15037,-2021
Ivano-Frankivsk Oblast,12587,12191,396
Kyiv Oblast,49252,24490,24762
Kirovohrad Oblast,10061,12466,-2405
Luhansk Oblast,5605,9096,-3491
Lviv Oblast,25913,25049,864
Mykolaiv Oblast,9481,10817,-1336
Odessa Oblast,28402,23271,5131
Poltava Oblast,19038,18515,523
Rivne Oblast,14462,15579,-1117
Sumy Oblast,12883,14709,-1826
Ternopil Oblast,10850,11000,-150
Kharkiv Oblast,38711,35868,2843
Kherson Oblast,8535,10334,-1799
Khmelnytskyi Oblast,16222,16008,214
Cherkasy Oblast,14884,15217,-333
Chernivtsi Oblast,6199,6722,-523
Chernihiv Oblast,10336,11335,-999
Kyiv,40785,40544,241