Region,total immigrants,total emigrants,migration increase (decrease)
Vinnytsia Oblast,689,283,406
Volyn Oblast,266,655,-389
Dnipropetrovsk Oblast,2001,972,1029
Donetsk Oblast,726,567,159
Zhytomyr Oblast,568,316,252
Zakarpattia Oblast,676,923,-247
Zaporizhia Oblast,1000,495,505
Ivano-Frankivsk Oblast,895,952,-57
Kyiv Oblast,2525,867,1658
Kirovohrad Oblast,488,396,92
Luhansk Oblast,386,417,-31
Lviv Oblast,1431,1483,-52
Mykolaiv Oblast,800,352,448
Odessa Oblast,6289,942,5347
Poltava Oblast,1937,1083,854
Rivne Oblast,341,1320,-979
Sumy Oblast,1056,489,567
Ternopil Oblast,1446,743,703
Kharkiv Oblast,8723,5670,3053
Kherson Oblast,145,207,-62
Khmelnytskyi Oblast,708,372,336
Cherkasy Oblast,446,416,30
Chernivtsi Oblast,1091,841,250
Chernihiv Oblast,150,147,3
Kyiv,10228,5881,4347