Region,total immigrants,total emigrants,migration increase (decrease)
Vinnytsia Oblast,132,121,11
Volyn Oblast,122,145,-23
Dnipropetrovsk Oblast,1530,494,1036
Donetsk Oblast,432,448,-16
Zhytomyr Oblast,271,141,130
Zakarpattia Oblast,365,397,-32
Zaporizhia Oblast,392,464,-72
Ivano-Frankivsk Oblast,310,444,-134
Kyiv Oblast,1933,395,1538
Kirovohrad Oblast,133,109,24
Luhansk Oblast,248,260,-12
Lviv Oblast,769,670,99
Mykolaiv Oblast,412,187,225
Odessa Oblast,2011,330,1681
Poltava Oblast,1201,535,666
Rivne Oblast,202,279,-77
Sumy Oblast,458,471,-13
Ternopil Oblast,755,228,527
Kharkiv Oblast,5705,5002,703
Kherson Oblast,160,120,40
Khmelnytskyi Oblast,469,141,328
Cherkasy Oblast,301,276,25
Chernivtsi Oblast,524,344,180
Chernihiv Oblast,69,104,-35
Kyiv,7457,7016,441