Year,Urban,Rural,Total_Present,Male,Female,Total_Resident,0-14 year,15-64 year,65 years and more,0-15 year,16-59 year,60 years and more,0-17 year,18 years and more
1990,34869.2,16969.3,51838.5,23826.2,27730.3,51556.5,11084.2,34297.7,6174.6,11814.3,30291.4,9450.8,13305.0,38251.5
1991,35085.2,16859.2,51944.4,23886.5,27737.0,51623.5,11029.5,34264.9,6329.1,11762.1,30230.3,9631.1,13225.7,38397.8
1992,35296.9,16759.7,52056.6,23949.4,27758.8,51708.2,10951.4,34248.7,6508.1,11690.8,30314.4,9703.0,13148.4,38559.8
1993,35471,16773.1,52244.1,24046.3,27824.1,51870.4,10915.4,34264.6,6690.4,11625.0,30523.7,9721.7,13101.0,38769.4
1994,35400.7,16713.7,52114.4,23981.1,27734.3,51715.4,10767.7,34084.4,6863.3,11489.8,30646.9,9578.7,12937.1,38778.3
1995,35118.8,16609.6,51728.4,23792.3,27508.1,51300.4,10528.7,33810.6,6961.1,11248.4,30595.7,9456.3,12668.1,38632.3
1996,34767.9,16529.2,51297.1,23591.6,27282.5,50874.1,10246.0,33569.1,7059.0,10988.6,30424.3,9461.2,12416.7,38457.4
1997,34387.5,16430.9,50818.4,23366.2,27033.8,50400.0,9952.4,33394.8,7052.8,10673.4,30166.5,9560.1,12124.4,38275.6
1998,34048.2,16322.6,50370.8,23163.5,26810.0,49973.5,9624.5,33322.4,7026.6,10366.0,29793.6,9813.9,11823.0,38150.5
1999,33702.1,16216,49918.1,22963.4,26581.4,49544.8,9206.0,33437.2,6901.6,10012.6,29500.0,10032.2,11469.7,38075.1
2000,33338.6,16091.2,49429.8,22754.7,26360.3,49115.0,8781.0,33515.1,6818.9,9571.9,29353.4,10189.7,11116.0,37999.0
2001,32951.7,15971.5,48923.2,22530.4,26133.2,48663.6,8373.3,33446.3,6844.0,9144.8,29259.4,10259.4,10740.7,37922.9
2002,32574.4,15882.7,48457.1,22316.3,25924.6,48240.9,7949.9,33312.4,6978.6,8743.7,29154.6,10342.6,10307.0,37933.9
2003,32328.4,15675.1,48003.5,22112.5,25710.6,47823.1,7569.5,33060.2,7193.4,8315.9,29314.5,10192.7,9878.6,37944.5
2004,32146.4,15476,47622.4,21926.8,25515.3,47442.1,7246.3,32826.5,7369.3,7966.1,29514.6,9961.4,9503.3,37938.8
2005,32009.3,15271.5,47280.8,21754.0,25346.5,47100.5,6989.8,32603.5,7507.2,7664.8,29656.3,9779.4,9129.2,37971.3
2006,31877.7,15051.8,46929.5,21574.7,25174.5,46749.2,6764.7,32417.4,7567.1,7408.3,29812.1,9528.8,8802.0,37947.2
2007,31777.4,14868.6,46646,21434.7,25031.0,46465.7,6606.4,32256.2,7603.1,7218.1,29799.8,9447.8,8536.1,37929.6
2008,31668.8,14703.9,46372.7,21297.7,24894.6,46192.3,6501.1,32184.5,7506.7,7071.0,29738.5,9382.8,8325.7,37866.6
2009,31587.2,14556.5,46143.7,21185.0,24778.4,45963.4,6476.2,32169.8,7317.4,7005.0,29586.0,9372.4,8186.3,37777.1
2010,31524.8,14438.1,45962.9,21107.1,24675.5,45782.6,6483.6,32130.2,7168.8,6982.6,29328.6,9471.4,8081.1,37701.5
2011,31441.6,14336.9,45778.5,21032.6,24565.6,45598.2,6496.0,32137.0,6965.2,6975.7,29090.1,9532.4,8003.3,37594.9
2012,31380.9,14252.7,45633.6,20976.7,24476.6,45453.3,6531.5,31993.3,6928.5,6993.1,28842.2,9618.0,7971.6,37481.7
2013,31378.6,14174.4,45553,20962.7,24410.0,45372.7,6620.6,31846.8,6905.3,7047.7,28622.9,9702.1,7990.4,37382.3
2014,31336.6,14089.6,45426.2,20918.3,24327.6,45245.9,6710.7,31606.4,6928.8,7120.1,28372.5,9753.3,8009.9,37236.0
2015,29673.1,13256.2,42929.3,19787.8,22971.9,42759.7,6449.2,29634.7,6675.8,6816.0,26613.3,9330.4,7614.7,35145.0
2016,29585,13175.5,42760.5,19717.9,22873.0,42590.9,6494.3,29327.7,6768.9,6856.3,26317.4,9417.2,7614.0,34976.9
2017,29482.3,13102.2,42584.5,19644.6,22770.3,42414.9,6535.5,29011.9,6867.5,6887.0,25982.0,9545.9,7615.6,34799.3
2018,29371,13015.4,42386.4,19558.2,22658.6,42216.8,6530.5,28719.0,6967.3,6895.7,25641.3,9679.8,7609.3,34607.5
2019,29256.7,12896.5,42153.2,19455.3,22528.3,41983.6,6481.0,28468.0,7034.6,6862.8,25293.7,9827.1,7579.7,34403.9
2020,29139.3,12763.1,41902.4,19343.5,22389.3,41732.8,6386.8,28199.5,7146.5,6786.5,24968.1,9978.2,7533.9,34198.9
2021,28959.6,12628.8,41588.4,19195.4,22223.3,41418.7,6279.8,27927.7,7211.2,6678.2,24618.9,10121.6,7459.7,33959.0
2022,28693.7,12473.6,41167.3,19007.0,21990.7,40997.7,6119.9,27646.7,7231.1,6550.4,24294.9,10152.4,7348.5,33649.2